corporateKey,firstName,lastName,email,phone,role,ouName
CK0001,James,Smith,emp0001@apexglobal.com,+14150000001,MANAGER,Apex Global Corporation
CK0002,Mary,Davis,emp0002@apexglobal.com,+14150000002,MANAGER,North America Division
CK0003,Robert,Anderson,emp0003@apexglobal.com,+14150000003,MANAGER,EMEA Division
CK0004,Patricia,Perez,emp0004@apexglobal.com,+14150000004,MANAGER,APAC Division
CK0005,John,Lewis,emp0005@apexglobal.com,+14150000005,MANAGER,LATAM Division
CK0006,Jennifer,Scott,emp0006@apexglobal.com,+14150000006,MANAGER,Global Engineering
CK0007,Michael,Nelson,emp0007@apexglobal.com,+14150000007,MANAGER,Product Innovation
CK0008,Linda,Roberts,emp0008@apexglobal.com,+14150000008,MANAGER,Financial Services
CK0009,David,Cruz,emp0009@apexglobal.com,+14150000009,MANAGER,People and Culture
CK0010,Elizabeth,Murphy,emp0010@apexglobal.com,+14150000010,MANAGER,Legal and Risk
CK0011,William,Peterson,emp0011@apexglobal.com,+14150000011,MANAGER,North America Division Branch 1
CK0012,Barbara,Cox,emp0012@apexglobal.com,+14150000012,MANAGER,North America Division Branch 2
CK0013,Richard,James,emp0013@apexglobal.com,+14150000013,MANAGER,North America Division Branch 3
CK0014,Susan,Alvarez,emp0014@apexglobal.com,+14150000014,MANAGER,North America Division Branch 4
CK0015,Joseph,Foster,emp0015@apexglobal.com,+14150000015,MANAGER,EMEA Division Branch 1
CK0016,Jessica,Garcia,emp0016@apexglobal.com,+14150000016,MANAGER,EMEA Division Branch 2
CK0017,Thomas,Gonzalez,emp0017@apexglobal.com,+14150000017,MANAGER,EMEA Division Branch 3
CK0018,Sarah,Martin,emp0018@apexglobal.com,+14150000018,MANAGER,EMEA Division Branch 4
CK0019,Charles,Clark,emp0019@apexglobal.com,+14150000019,MANAGER,APAC Division Branch 1
CK0020,Karen,King,emp0020@apexglobal.com,+14150000020,MANAGER,APAC Division Branch 2
CK0021,Christopher,Green,emp0021@apexglobal.com,+14150000021,MANAGER,APAC Division Branch 3
CK0022,Lisa,Mitchell,emp0022@apexglobal.com,+14150000022,MANAGER,APAC Division Branch 4
CK0023,Daniel,Diaz,emp0023@apexglobal.com,+14150000023,MANAGER,LATAM Division Branch 1
CK0024,Nancy,Morris,emp0024@apexglobal.com,+14150000024,MANAGER,LATAM Division Branch 2
CK0025,Matthew,Morgan,emp0025@apexglobal.com,+14150000025,MANAGER,LATAM Division Branch 3
CK0026,Betty,Ramos,emp0026@apexglobal.com,+14150000026,MANAGER,Global Engineering Branch 1
CK0027,Anthony,Chavez,emp0027@apexglobal.com,+14150000027,MANAGER,Global Engineering Branch 2
CK0028,Margaret,Hughes,emp0028@apexglobal.com,+14150000028,MANAGER,Global Engineering Branch 3
CK0029,Mark,Long,emp0029@apexglobal.com,+14150000029,MANAGER,Product Innovation Branch 1
CK0030,Sandra,Brown,emp0030@apexglobal.com,+14150000030,MANAGER,Product Innovation Branch 2
CK0031,Donald,Hernandez,emp0031@apexglobal.com,+14150000031,MANAGER,Product Innovation Branch 3
CK0032,Ashley,Moore,emp0032@apexglobal.com,+14150000032,MANAGER,Financial Services Branch 1
CK0033,Steven,Harris,emp0033@apexglobal.com,+14150000033,MANAGER,Financial Services Branch 2
CK0034,Kimberly,Young,emp0034@apexglobal.com,+14150000034,MANAGER,Financial Services Branch 3
CK0035,Paul,Hill,emp0035@apexglobal.com,+14150000035,MANAGER,People and Culture Branch 1
CK0036,Emily,Rivera,emp0036@apexglobal.com,+14150000036,MANAGER,People and Culture Branch 2
CK0037,Andrew,Evans,emp0037@apexglobal.com,+14150000037,MANAGER,People and Culture Branch 3
CK0038,Donna,Reyes,emp0038@apexglobal.com,+14150000038,MANAGER,Legal and Risk Branch 1
CK0039,Joshua,Gutierrez,emp0039@apexglobal.com,+14150000039,MANAGER,Legal and Risk Branch 2
CK0040,Michelle,Kelly,emp0040@apexglobal.com,+14150000040,MANAGER,Legal and Risk Branch 3
CK0041,Kenneth,Watson,emp0041@apexglobal.com,+14150000041,MANAGER,North America Division Branch 1 Unit 1
CK0042,Carol,Mendoza,emp0042@apexglobal.com,+14150000042,MANAGER,North America Division Branch 1 Unit 2
CK0043,Kevin,Patel,emp0043@apexglobal.com,+14150000043,MANAGER,North America Division Branch 2 Unit 1
CK0044,Amanda,Johnson,emp0044@apexglobal.com,+14150000044,MANAGER,North America Division Branch 2 Unit 2
CK0045,Brian,Rodriguez,emp0045@apexglobal.com,+14150000045,MANAGER,North America Division Branch 3 Unit 1
CK0046,Dorothy,Thomas,emp0046@apexglobal.com,+14150000046,MANAGER,North America Division Branch 3 Unit 2
CK0047,George,Thompson,emp0047@apexglobal.com,+14150000047,MANAGER,North America Division Branch 4 Unit 1
CK0048,Melissa,Robinson,emp0048@apexglobal.com,+14150000048,MANAGER,North America Division Branch 4 Unit 2
CK0049,Timothy,Torres,emp0049@apexglobal.com,+14150000049,MANAGER,EMEA Division Branch 1 Unit 1
CK0050,Deborah,Baker,emp0050@apexglobal.com,+14150000050,MANAGER,EMEA Division Branch 1 Unit 2
CK0051,Ronald,Gomez,emp0051@apexglobal.com,+14150000051,MANAGER,EMEA Division Branch 2 Unit 1
CK0052,Stephanie,Edwards,emp0052@apexglobal.com,+14150000052,MANAGER,EMEA Division Branch 2 Unit 2
CK0053,Edward,Cook,emp0053@apexglobal.com,+14150000053,MANAGER,EMEA Division Branch 3 Unit 1
CK0054,Rebecca,Bailey,emp0054@apexglobal.com,+14150000054,MANAGER,EMEA Division Branch 3 Unit 2
CK0055,Jason,Ward,emp0055@apexglobal.com,+14150000055,MANAGER,EMEA Division Branch 4 Unit 1
CK0056,Sharon,Bennett,emp0056@apexglobal.com,+14150000056,MANAGER,EMEA Division Branch 4 Unit 2
CK0057,Jeffrey,Castillo,emp0057@apexglobal.com,+14150000057,MANAGER,APAC Division Branch 1 Unit 1
CK0058,Laura,Jimenez,emp0058@apexglobal.com,+14150000058,MANAGER,APAC Division Branch 1 Unit 2
